Invoice #,Vendor Name,Invoice Amount,Transaction Date,Entry Date,Posting Timestamp,Description,Department
INV-11476,Ünïcode Vendörs Ltd.,24097.29,2024-04-15T00:00:00,15-Apr-2024,2024-04-15 11:29:00,  Purchase order for Ünïcode Vendörs Ltd.  ,Procurement
INV-11142,Stark Materials Co.,8657.00,2024-08-10T00:00:00,2024-08-10,2024-08-10 14:28:00,Purchase order for Stark Materials Co.,Finance
INV-10485,Initech Consulting,41474.11,27/11/2023,02-Dec-2023,2023-11-27 07:04:00,Purchase order for Initech Consulting,Operations
INV-10318,Ünïcode Vendörs Ltd.,"30,792.77","November 19, 2024",20/11/2024,2024-11-19 07:47:00,Purchase order for Ünïcode Vendörs Ltd.,IT
INV-10194,Globex Industrial,35583.48,10/14/2024,15-Oct-2024,2024-10-14 13:57:00,Purchase order for Globex Industrial,Procurement
INV-11383,Umbrella Logistics,"$18,459.34","March 11, 2023",11-Mar-2023,2023-03-11 06:53:00,After-hours entry test,IT
INV-10801,  Pied Piper Compression  ,"$42,062.83",2023-04-16,2023-04-18,2023-04-16 18:25:00,Purchase order for Pied Piper Compression,NaN
INV-11302,Weyland-Yutani Corp,28362.89,12/25/2024,25-Dec-2024,2024-12-25 13:00:00,Holiday posting test,Operations
INV-10397,Initech Consulting,30365.84,21-Jan-2023,2023-01-24,2023-01-21 08:25:00,Purchase order for Initech Consulting,Marketing
INV-10533,Sterling Cooper Ads, 0.01 ,2023-09-06T00:00:00,2023-09-06T00:00:00,2023-09-06 09:00:00,Outlier stress test,Finance
INV-11447,Globex Industrial,"41,336.07",2023-08-10T00:00:00,2023-08-14T00:00:00,2023-08-10 09:00:00,  Purchase order for Globex Industrial  ,Procurement
INV-11036,Hooli Cloud Services,"$40,697.22",23-Jul-2024,2024-07-26T00:00:00,2024-07-23 09:26:00,Purchase order for Hooli Cloud Services,Marketing
INV-10581,Dunder Mifflin Paper,"$36,231.65",03-Aug-2023,2023-08-04T00:00:00,2023-08-03 15:56:00,Purchase order for Dunder Mifflin Paper,--
INV-10235,Wonka Distribution,"38,309.77","April 15, 2023",16/04/2023,2023-04-15 18:39:00,Purchase order for Wonka Distribution,Operations
INV-10237,Umbrella Logistics,25281.68,2024-06-04T00:00:00,"June 04, 2024",2024-06-04 10:00:00,Possible duplicate payment,Finance
INV-11287,Prestige Worldwide,37019.02,09/27/2024,2024-09-28T00:00:00,2024-09-27 17:00:00,Purchase order for Prestige Worldwide,Marketing
INV-10974,Sterling Cooper Ads,28558.07,2024-01-14,01/17/2024,2024-01-14 14:30:00,Purchase order for Sterling Cooper Ads,Operations
INV-10825,Gekko & Co Capital, 5943.12 ,12/19/2023,19/12/2023,2023-12-19 10:00:00,Possible duplicate payment,Finance
INV-10317,Tyrell Corporation,"36,174.34",2023-04-11T00:00:00,2023-04-16,2023-04-11 07:26:00,Purchase order for Tyrell Corporation,--
INV-10702,Fabrikam Supplies,23500.00,12/15/2024,2024-12-15,2024-12-15 14:00:00,Round dollar test,Procurement
INV-10920,Weyland-Yutani Corp,1986662.94,22/10/2024,22-Oct-2024,2024-10-22 09:00:00,Vendor concentration test,None
INV-11005,Genco Pura Olive Oil,19250.50,2024-06-14,2024-06-14T00:00:00,2024-06-14 21:03:00,After-hours entry test,N/A
INV-11496,Cyberdyne Systems,13782.03,04/03/2023,04-Mar-2023,2023-03-04 01:06:00,After-hours entry test,IT
INV-10330,Wayne Enterprises,21638.97,"November 07, 2023","November 07, 2023",2023-11-07 08:23:00,Purchase order for Wayne Enterprises,IT
INV-10737,Cyberdyne Systems,2446.14,20/09/2023,2023-09-25T00:00:00,2023-09-20 15:39:00,Purchase order for Cyberdyne Systems,Finance
INV-10996,Fabrikam Supplies,35032.05,2023-02-01T00:00:00,02/02/2023,2023-02-01 10:40:00,Purchase order for Fabrikam Supplies,Finance
INV-10740,Aperture Science,"33,564.01",11-Sep-2023,2023-09-11T00:00:00,2023-09-11 13:11:00,--,Marketing
INV-10852,Globex Industrial, 37409.25 ,2024-05-11,05/11/2024,2024-05-11 11:00:00,Weekend posting test,Operations
INV-10444,北京贸易公司,"30,445.31",12-Dec-2024,2024-12-13,2024-12-12 16:55:00,Purchase order for 北京贸易公司,Marketing
INV-10151,Pied Piper Compression,"30,842.44",06/26/2023,29/06/2023,2023-06-26 10:08:00,Purchase order for Pied Piper Compression,Finance
INV-10453,Initech Consulting,"$23,442.81",2023-11-03,2023-11-08T00:00:00,2023-11-03 11:04:00,Purchase order for Initech Consulting,Procurement
INV-10838,Gekko & Co Capital,"31,466.39",2024-12-06T00:00:00,"December 10, 2024",2024-12-06 07:42:00,Purchase order for Gekko & Co Capital,Procurement
INV-10257,Tyrell Corporation,"$29,697.28",2023-06-27,30/06/2023,2023-06-27 17:45:00,Purchase order for Tyrell Corporation,NA
INV-11135,Umbrella Logistics,32117.18,23-Sep-2023,09/26/2023,2023-09-23 12:58:00,Purchase order for Umbrella Logistics,NA
INV-10811,Prestige Worldwide, 13167.58 ,04-May-2024,"May 09, 2024",2024-05-04 14:44:00,Purchase order for Prestige Worldwide,None
INV-11183,Initech Consulting,5624.76,2023-11-07,11/11/2023,2023-11-07 18:06:00,Purchase order for Initech Consulting,IT
INV-10120,Los Pollos Hermanos,20851.10,N/A,04/02/2023,2023-02-04 16:37:00,Purchase order for Los Pollos Hermanos,
INV-10435,Hooli Cloud Services,"$18,722.97",18-Dec-2023,12/22/2023,2023-12-18 08:30:00,Purchase order for Hooli Cloud Services,Facilities
INV-10812,Umbrella Logistics,31244.94,10/01/2023,2023-10-03T00:00:00,2023-10-01 07:14:00,Purchase order for Umbrella Logistics,
INV-10841,Fabrikam Supplies, 30967.36 ,2023-04-28,2023-05-02T00:00:00,2023-04-28 10:29:00,,None
INV-11176,Acme Global Holdings,"$6,968.14","October 03, 2024",05-Oct-2024,2024-10-03 16:07:00,Purchase order for Acme Global Holdings,Operations
INV-11179,Prestige Worldwide,42358.32,16-Oct-2023,20/10/2023,2023-10-16 09:38:00,Purchase order for Prestige Worldwide,Operations
INV-10133,Hooli Cloud Services,"$33,595.02",10/09/2023,12/10/2023,2023-10-09 10:12:00,Purchase order for Hooli Cloud Services,Marketing
INV-10745,Dunder Mifflin Paper,"$43,548.23",07/23/2023,2023-07-23,2023-07-23 15:30:00,  Purchase order for Dunder Mifflin Paper  ,Operations
INV-10882,🚀 Rocket Supplies Inc.,1394.94,2024-03-13T00:00:00,"June 08, 2024",2024-06-08 09:00:00,Backdated entry test,Finance
INV-11416,Los Pollos Hermanos,"$197,162.29",2023-10-22T00:00:00,22-Oct-2023,2023-10-22 15:00:00,Materiality breach test,Finance
INV-11487,  Gekko & Co Capital  ,720.31,2023-07-31T00:00:00,"August 03, 2023",2023-07-31 12:05:00,Purchase order for Gekko & Co Capital,
INV-10105,Oscorp Chemical,"25,586.07",03-Apr-2023,"April 06, 2023",2023-04-03 15:08:00,Purchase order for Oscorp Chemical,Marketing
INV-10468,Vandelay Industries,6723.71,"March 04, 2023",2023-03-09,2023-03-04 13:05:00,Purchase order for Vandelay Industries,IT
INV-11317,北京贸易公司,29060.22,2023-12-10T00:00:00,12/12/2023,2023-12-10 15:20:00,  Purchase order for 北京贸易公司  ,IT
INV-10089,  北京贸易公司  ,30805.04,03/04/2024,2024-03-05T00:00:00,2024-03-04 15:49:00,Purchase order for 北京贸易公司,Procurement
INV-10891,Northwind Traders,"24,884.74",09/26/2023,2023-09-28T00:00:00,2023-09-26 09:39:00,Purchase order for Northwind Traders,Finance
INV-10931,Bluth Company,30005.96,12/25/2023,12/26/2023,2023-12-25 07:20:00,Purchase order for Bluth Company,Procurement
INV-10732,Genco Pura Olive Oil (New), 34306.44 ,2024-09-25,2024-09-25T00:00:00,2024-09-25 09:00:00,New vendor high value test,Procurement
INV-10319,Stark Materials Co.,15695.35,"October 27, 2023",29/10/2023,2023-10-27 10:11:00,Purchase order for Stark Materials Co.,IT
INV-10282,Acme Global Holdings,"12,768.89",2024-01-03,01/07/2024,2024-01-03 12:20:00,Purchase order for Acme Global Holdings,Operations
INV-10738,  Contoso Manufacturing  ,"$10,841.90",04/26/2023,29/04/2023,2023-04-26 16:56:00,  Purchase order for Contoso Manufacturing  ,Operations
INV-10516,Prestige Worldwide,4549.61,04-Jun-2024,"June 08, 2024",2024-06-04 14:06:00,Purchase order for Prestige Worldwide,
INV-10061,Globex Industrial,36679.02,"April 06, 2024",2024-04-06,2024-04-06 11:10:00,Purchase order for Globex Industrial,NaN
INV-11270,Umbrella Logistics,7469.73,03-Feb-2023,02/06/2023,2023-02-03 09:10:00,Purchase order for Umbrella Logistics,IT
INV-10892,Hooli Cloud Services,17040.65,04/25/2023,25/04/2023,2023-04-25 10:00:00,Possible duplicate payment,Finance
INV-10559,Fabrikam Supplies,9441.59,30/05/2024,"June 04, 2024",2024-05-30 18:12:00,Purchase order for Fabrikam Supplies,Finance
INV-11375,Hooli Cloud Services,31509.98,2023-06-05,06/08/2023,2023-06-05 07:22:00,-,
INV-10767,  Weyland-Yutani Corp  ,43990.71,"September 26, 2023",26/09/2023,2023-09-26 09:28:00,Purchase order for Weyland-Yutani Corp,Marketing
INV-10563,Los Pollos Hermanos,20469.55,12/30/2024,02/01/2025,2024-12-30 17:05:00,Purchase order for Los Pollos Hermanos,null
INV-11353,  Vandelay Industries  ,"$22,412.64",2024-06-01T00:00:00,"June 04, 2024",2024-06-01 08:25:00,Purchase order for Vandelay Industries,
INV-10438,  Fabrikam Supplies  ,"32,051.69",12/31/2023,2024-01-01,2023-12-31 13:41:00,Purchase order for Fabrikam Supplies,Facilities
INV-10917,Stark Materials Co.,1404.10,01/16/2023,01/16/2023,2023-01-16 17:57:00,Purchase order for Stark Materials Co.,Finance
INV-11170,🚀 Rocket Supplies Inc.,17056.38,07/07/2024,07/09/2024,2024-07-07 07:30:00,  Purchase order for 🚀 Rocket Supplies Inc.  ,Finance
INV-10273,Umbrella Logistics, 17500.00 ,"August 01, 2023",08/01/2023,2023-08-01 14:00:00,Round dollar test,Procurement
INV-10315,🚀 Rocket Supplies Inc.,36139.30,"September 01, 2023",2023-09-01,2023-09-01 05:51:00,After-hours entry test,IT
INV-11444,Wonka Distribution, 31154.70 ,2023-02-13,16-Feb-2023,2023-02-13 17:59:00,  Purchase order for Wonka Distribution  ,None
INV-10348,Tyrell Corporation,36534.14,"March 20, 2024",2024-03-22,2024-03-20 09:34:00,Purchase order for Tyrell Corporation,Finance
INV-10115,Prestige Worldwide,36492.44,12/05/2023,"December 08, 2023",2023-12-05 13:37:00,Purchase order for Prestige Worldwide,Marketing
INV-10240,Hooli Cloud Services,"$17,040.65",24-Apr-2023,24/04/2023,2023-04-24 10:00:00,Possible duplicate payment,Finance
INV-10137,Wonka Distribution,"$9,964.32",2024-06-13T00:00:00,17-Jun-2024,2024-06-13 10:30:00,Purchase order for Wonka Distribution,Facilities
INV-10866,Vandelay Industries,32966.41,03-Jul-2023,04/07/2023,2023-07-03 17:34:00,Purchase order for Vandelay Industries,Procurement
INV-11045,Ünïcode Vendörs Ltd.,5629.63,2023-12-23,2023-12-26T00:00:00,2023-12-23 11:25:00,Purchase order for Ünïcode Vendörs Ltd.,null
INV-11324,Hooli Cloud Services,"23,764.09",2024-07-25T00:00:00,07/25/2024,2024-07-25 16:18:00,Purchase order for Hooli Cloud Services,Finance
INV-10109,Soylent Foods Ltd.,5733.18,24/01/2024,"January 28, 2024",2024-01-24 09:13:00,  Purchase order for Soylent Foods Ltd.  ,IT
INV-11396,  Massive Dynamic  ,33046.62,"October 06, 2023",06-Oct-2023,2023-10-06 10:39:00,Purchase order for Massive Dynamic,IT
INV-10730,Aperture Science,"$13,606.12",07/10/2024,2024-10-07T00:00:00,2024-10-07 12:35:00,Purchase order for Aperture Science,Facilities
INV-10419,Cyberdyne Systems,9855.90,2024-01-25T00:00:00,27/01/2024,2024-01-25 15:18:00,Purchase order for Cyberdyne Systems,NaN
INV-10075,Contoso Manufacturing,"21,461.26","June 16, 2024","June 17, 2024",2024-06-16 14:45:00,Purchase order for Contoso Manufacturing,IT
INV-11221,Prestige Worldwide,"$14,134.14","July 14, 2024",2024-07-18,2024-07-14 16:31:00,Purchase order for Prestige Worldwide,IT
INV-11034,Massive Dynamic, 8539.73 ,-,06/18/2024,2024-06-16 08:23:00,Purchase order for Massive Dynamic,Marketing
INV-11403,Massive Dynamic,"$33,588.55",2024-05-06T00:00:00,2024-05-09,2024-05-06 15:18:00,Purchase order for Massive Dynamic,Finance
INV-10378,Gekko & Co Capital,22211.44,2024-03-13T00:00:00,2024-03-13T00:00:00,2024-03-13 10:30:00,Purchase order for Gekko & Co Capital,Finance
INV-10924,  Wonka Distribution  ,"$6,431.46",2024-05-05,2024-05-05T00:00:00,2024-05-05 09:14:00,Purchase order for Wonka Distribution,
INV-10447,Cyberdyne Systems,42813.97,10/06/2023,07/12/2023,2023-12-07 09:00:00,Backdated entry test,Finance
INV-11157,Gekko & Co Capital,41080.94,"September 24, 2023",2023-09-28,2023-09-24 18:32:00,NA,Operations
INV-10988,Contoso Manufacturing,36621.29,"November 22, 2024",22-Nov-2024,2024-11-22 10:55:00,  Purchase order for Contoso Manufacturing  ,Finance
INV-10904,Tyrell Corporation,503.43,06/17/2023,"June 18, 2023",2023-06-17 14:52:00,Purchase order for Tyrell Corporation,Procurement
INV-11365,Umbrella Logistics,32080.21,2024-11-05T00:00:00,08-Nov-2024,2024-11-05 10:12:00,Purchase order for Umbrella Logistics,Operations
INV-10175,Umbrella Logistics,"20,789.61","December 30, 2024",04/01/2025,2024-12-30 10:00:00,Purchase order for Umbrella Logistics,Procurement
INV-11335,Bluth Company,17732.97,"August 22, 2024","August 22, 2024",2024-08-22 08:45:00,Purchase order for Bluth Company,Operations
INV-11475,Aperture Science,2209.40,11-Feb-2024,02/12/2024,2024-02-11 10:20:00,Purchase order for Aperture Science,Finance
INV-11177,Northwind Traders,6089.01,05/01/2024,2024-01-08T00:00:00,2024-01-05 15:00:00,  Purchase order for Northwind Traders  ,Operations
INV-10400,🚀 Rocket Supplies Inc.,"$29,039.52",09/24/2023,09/26/2023,2023-09-24 15:06:00,Purchase order for 🚀 Rocket Supplies Inc.,
INV-10792,  Tyrell Corporation  ,39165.88,2024-10-02T00:00:00,2024-10-06,2024-10-02 08:47:00,Purchase order for Tyrell Corporation,Operations
INV-10847,Wonka Distribution,5414.17,14/01/2023,2023-01-14,2023-01-14 13:27:00,Purchase order for Wonka Distribution,Finance
INV-10335,Aperture Science,"33,457.28",25/09/2024,2024-09-30,2024-09-25 08:30:00,Purchase order for Aperture Science,N/A
INV-10356,Northwind Traders, 10430.51 ,2024-04-01,2024-04-06T00:00:00,2024-04-01 16:50:00,  Purchase order for Northwind Traders  ,Procurement
INV-11000,Cyberdyne Systems,18343.86,2024-04-06,07/04/2024,2024-04-06 18:04:00,--,Procurement
INV-10292,Initech Consulting,"79,735.64",21/05/2023,"May 21, 2023",2023-05-21 15:00:00,Materiality breach test,Finance
INV-11007,Pied Piper Compression,"20,077.04",08/13/2023,2023-08-17,2023-08-13 14:43:00,Purchase order for Pied Piper Compression,IT
INV-10027,Gekko & Co Capital, 5943.12 ,12/24/2023,12/24/2023,2023-12-24 10:00:00,Possible duplicate payment,NA
INV-10537,Pied Piper Compression,-,03/07/2024,03/09/2024,2024-03-07 17:32:00,Purchase order for Pied Piper Compression,Facilities
INV-10396,Bluth Company,8616.31,07/16/2024,2024-07-21T00:00:00,2024-07-16 14:28:00,Purchase order for Bluth Company,Operations
INV-11199,Genco Pura Olive Oil,16782.68,2023-09-22T00:00:00,2023-09-25T00:00:00,2023-09-22 15:39:00,NaN,
INV-11171,Fabrikam Supplies,"40,873.87",11-Jul-2023,07/12/2023,2023-07-11 12:59:00,--,Operations
INV-11205,Los Pollos Hermanos,13610.93,2024-02-12T00:00:00,"February 14, 2024",2024-02-12 14:14:00,Purchase order for Los Pollos Hermanos,Marketing
INV-11138,Tyrell Corporation,"33,782.80",2023-11-19,"January 10, 2024",2024-01-10 09:00:00,Backdated entry test,Finance
INV-10234,Initech Consulting,38760.15,08/04/2023,"September 30, 2023",2023-09-30 09:00:00,Backdated entry test,null
INV-10757,Massive Dynamic,32126.45,02/05/2023,02-May-2023,2023-05-02 12:42:00,Purchase order for Massive Dynamic,
INV-10083,Fabrikam Supplies, 38229.21 ,2023-11-16T00:00:00,"November 17, 2023",2023-11-16 08:47:00,Purchase order for Fabrikam Supplies,Marketing
INV-11247,Gekko & Co Capital,17598.22,11/10/2024,"November 11, 2024",2024-11-10 09:11:00,N/A,NA
INV-11422,Umbrella Logistics,"13,692.77",09/17/2024,20-Sep-2024,2024-09-17 17:44:00,Purchase order for Umbrella Logistics,Finance
INV-10733,Ünïcode Vendörs Ltd.,27185.05,2024-03-07,"March 11, 2024",2024-03-07 16:05:00,Purchase order for Ünïcode Vendörs Ltd.,
INV-11434,Cyberdyne Systems,32950.62,2024-10-05T00:00:00,05/10/2024,2024-10-05 11:00:00,Weekend posting test,Operations
INV-10104,Stark Materials Co., 11329.85 ,2023-08-13,08/14/2023,2023-08-13 09:00:00,Duplicate test group 4 copy 1,Procurement
INV-11034,Massive Dynamic, 8539.73 ,16-Jun-2024,06/18/2024,2024-06-16 08:23:00,Purchase order for Massive Dynamic,Marketing
INV-10087,Tyrell Corporation,"$35,139.69",2024-02-05T00:00:00,06/02/2024,2024-02-05 07:58:00,Purchase order for Tyrell Corporation,Marketing
INV-10032,Genco Pura Olive Oil,"$11,384.45",30/03/2024,04/02/2024,2024-03-30 11:15:00,Purchase order for Genco Pura Olive Oil,Procurement
INV-10017,  Cyberdyne Systems  ,2449.59,08-Feb-2024,2024-02-12,2024-02-08 13:26:00,Purchase order for Cyberdyne Systems,-
INV-11154,Globex Industrial,10342.98,07/09/2023,2023-09-09T00:00:00,2023-09-07 16:51:00,Purchase order for Globex Industrial,Marketing
INV-11357,Massive Dynamic,21369.41,13-Feb-2023,"February 14, 2023",2023-02-13 09:49:00,Purchase order for Massive Dynamic,Facilities
INV-11265,Dunder Mifflin Paper, 40231.73 ,09/12/2024,"September 16, 2024",2024-09-12 15:34:00,Purchase order for Dunder Mifflin Paper,Facilities
INV-10934,  Wonka Distribution  ,"$16,950.79",02-Sep-2024,2024-09-06,2024-09-02 17:53:00,Purchase order for Wonka Distribution,NA
INV-10326,Gekko & Co Capital,$256.42,2024-03-05T00:00:00,03/06/2024,2024-03-05 17:37:00,Purchase order for Gekko & Co Capital,
INV-11134,Dunder Mifflin Paper,10780.16,04/07/2024,04/07/2024,2024-07-04 13:00:00,Holiday posting test,Operations
INV-10042,Bluth Company,26854.81,12/03/2023,2023-03-13,2023-03-12 15:12:00,Purchase order for Bluth Company,Marketing
INV-10222,Northwind Traders,"$8,397.40",07-Jan-2024,01/10/2024,2024-01-07 17:27:00,Purchase order for Northwind Traders,Marketing
INV-11107,🚀 Rocket Supplies Inc.,27520.53,"July 13, 2024",14/07/2024,2024-07-13 12:44:00,  Purchase order for 🚀 Rocket Supplies Inc.  ,Marketing
INV-11278,Los Pollos Hermanos,11974.62,"July 13, 2023",07/14/2023,2023-07-13 09:00:00,Duplicate test group 3 copy 0,Procurement
INV-11232,Ünïcode Vendörs Ltd.,"$26,866.09","April 01, 2024",2024-04-06,2024-04-01 11:27:00,Purchase order for Ünïcode Vendörs Ltd.,IT
INV-10248,Bluth Company,43067.69,16/08/2024,2024-08-19T00:00:00,2024-08-16 14:53:00,Purchase order for Bluth Company,IT
INV-11258,Acme Global Holdings,44303.63,2024-12-16T00:00:00,"December 19, 2024",2024-12-16 13:54:00,Purchase order for Acme Global Holdings,Marketing
INV-11432,Genco Pura Olive Oil,8334.38,06-Jan-2023,07-Jan-2023,2023-01-06 09:00:00,Duplicate test group 1 copy 1,Procurement
INV-10539,Sterling Cooper Ads,34774.58,27/11/2023,11/28/2023,2023-11-27 17:45:00,Purchase order for Sterling Cooper Ads,Marketing
INV-11384,Genco Pura Olive Oil,"41,250.98",2024-09-08,2024-09-11,2024-09-08 07:01:00,Purchase order for Genco Pura Olive Oil,
INV-11468,Tyrell Corporation,"$16,617.83","April 11, 2024",2024-04-14,2024-04-11 07:44:00,Purchase order for Tyrell Corporation,
INV-11237,Contoso Manufacturing,"20,635.22",2024-09-15T00:00:00,18/09/2024,2024-09-15 10:19:00,Purchase order for Contoso Manufacturing,
INV-11037,  Soylent Foods Ltd.  ,"$32,452.31","May 18, 2023",19/05/2023,2023-05-18 08:59:00,Purchase order for Soylent Foods Ltd.,Marketing
INV-10729,  Contoso Manufacturing  ,8178.48,11/01/2023,11/05/2023,2023-11-01 12:09:00,Purchase order for Contoso Manufacturing,None
INV-10120,Los Pollos Hermanos,20851.10,04-Feb-2023,04/02/2023,2023-02-04 16:37:00,Purchase order for Los Pollos Hermanos,
INV-10055,Wonka Distribution,27987.78,07/12/2023,10-Dec-2023,2023-12-07 08:30:00,Purchase order for Wonka Distribution,Operations
INV-10760,🚀 Rocket Supplies Inc.,25818.93,26-May-2023,2023-05-30T00:00:00,2023-05-26 11:11:00,Purchase order for 🚀 Rocket Supplies Inc.,
INV-10537,Pied Piper Compression,"44,384.83",03/07/2024,03/09/2024,2024-03-07 17:32:00,Purchase order for Pied Piper Compression,Facilities
INV-10851,Soylent Foods Ltd., 13559.46 ,2023-09-06T00:00:00,09/09/2023,2023-09-06 17:41:00,Purchase order for Soylent Foods Ltd.,Finance
INV-11259,Bluth Company,35123.59,19-Mar-2023,19-Mar-2023,2023-03-19 17:45:00,NA,Marketing
INV-11269,Globex Industrial, 22516.30 ,2024-06-25,"June 26, 2024",2024-06-25 18:47:00,  Purchase order for Globex Industrial  ,Marketing
INV-10727,Stark Materials Co.,"16,289.13",26-Feb-2024,2024-02-27T00:00:00,2024-02-26 16:27:00,Purchase order for Stark Materials Co.,IT
INV-10376,Wonka Distribution,"$10,335.22","December 20, 2024",2024-12-24,2024-12-20 18:50:00,Purchase order for Wonka Distribution,Operations
INV-10157,Genco Pura Olive Oil,28304.18,08/24/2024,2024-08-24,2024-08-24 11:00:00,Weekend posting test,Operations
INV-10358,Los Pollos Hermanos,"$3,241.60",02/10/2024,"October 02, 2024",2024-10-02 17:27:00,N/A,Marketing
